vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
El Prince,Clothing,Owned stock,TOO SMALL TO RANK,10,1,0,0.0,,698,190,27.3,0.0,369,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Marcada,Various,Owned stock,TOO SMALL TO RANK,3,1,1,33.3,100.0,671,211,31.4,23.9,360,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Baby Moment,Baby Essentials,Owned stock,TOO SMALL TO RANK,61,0,0,0.0,,608,608,100.0,100.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
LEOMIL,Clothing,Owned stock,TOO SMALL TO RANK,5,4,0,0.0,,598,136,22.7,0.0,0,907,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Nahdet Miser-BOOK,Various,Owned stock,TOO SMALL TO RANK,28,4,0,0.0,0.0,594,105,17.7,0.0,0,159,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Bedo,Party,Owned stock,TOO SMALL TO RANK,17,12,0,0.0,,499,82,16.4,0.0,1229,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Legado Toys,Toys,Owned stock,TOO SMALL TO RANK,3,1,0,0.0,,496,174,35.1,0.0,261,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Nona band,Clothing,Owned stock,TOO SMALL TO RANK,16,4,0,0.0,,350,132,37.7,0.0,255,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
JOKY-con,Clothing,Consignment,WIDEN — no capital at risk,2,0,0,0.0,0.0,250,219,87.7,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Screen Technology Company,Toys,Owned stock,TOO SMALL TO RANK,4,4,0,0.0,,240,67,27.7,0.0,0,564,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Mr.Amr,Various,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,210,-26,-12.3,0.0,35,0,,,,,,Never,0,0,0,0,0.0,-0.0,,0,0
Readers Corner,Various,Owned stock,TOO SMALL TO RANK,6,4,0,0.0,,200,35,17.7,0.0,560,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Kaytot Store,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,200,55,27.7,0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Don Ballon,Party,Owned stock,TOO SMALL TO RANK,3,3,0,0.0,,127,81,64.1,0.0,76,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
El Halawany,Clothing,Owned stock,TOO SMALL TO RANK,17,17,0,0.0,,103,-244,-238.2,0.0,3184,0,,,,,,Never,0,0,0,0,0.0,-0.0,,0,0
International Book,Various,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,70,9,12.7,0.0,0,105,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Sawa international,School,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,60,17,27.7,0.0,0,144,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
al-tabarak Clothes,Clothing,Owned stock,TOO SMALL TO RANK,2,2,0,0.0,,19,10,50.9,0.0,39,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Abo Ashraf,Party,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,5,-1,-12.2,0.0,10,0,,,,,,Never,0,0,0,0,0.0,-0.0,,0,0
Rosso-consign,Clothing,Consignment,RENEGOTIATE MARGIN,1,1,0,0.0,,0,0,0,0,0,182,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Giggles -cash,Clothing,Owned stock,TOO SMALL TO RANK,3,3,0,0.0,,0,0,0,0,568,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Converta,Baby Essentials,Owned stock,TOO SMALL TO RANK,6,4,1,16.7,,0,0,0,0,0,2295,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Smart Shoes-stock,Clothing,Owned stock,TOO SMALL TO RANK,72,70,0,0.0,,0,0,0,0,34842,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Modern,Toys,Owned stock,TOO SMALL TO RANK,3,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
First Steps,Baby Essentials,Owned stock,TOO SMALL TO RANK,2,2,0,0.0,,0,0,0,0,0,319,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
3TM,Baby Essentials,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,0,0,0,0,34,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
HUN-Necessities,Various,Owned stock,TOO SMALL TO RANK,12,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Maged Ragab,Clothing,Owned stock,TOO SMALL TO RANK,6,1,0,0.0,,0,0,0,0,7,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
MG,Toys,Owned stock,TOO SMALL TO RANK,4,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Sega Industry,Various,Owned stock,TOO SMALL TO RANK,2,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Fun To Wear,Party,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
LEKRA,Clothing,Owned stock,TOO SMALL TO RANK,3,3,0,0.0,,0,0,0,0,71,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Gusto,Clothing,Owned stock,TOO SMALL TO RANK,2,2,0,0.0,,0,0,0,0,0,454,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Kazarouni,Clothing,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,0,0,0,0,0,25,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
General Commerce,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Fit Kids,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
OH Pro For Import,Baby Essentials,Owned stock,TOO SMALL TO RANK,25,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
El Wamed,Baby Essentials,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,0,0,0,0,150,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Baby sleep,Baby Essentials,Owned stock,TOO SMALL TO RANK,2,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
ELhabbeb traid,Various,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Fluffy bear-toys,Toys,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,0,0,0,0,390,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Manshe Toys,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Al  Masrya,Various,Owned stock,TOO SMALL TO RANK,2,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
HUGGIES,Baby Essentials,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
N shop,Baby Essentials,Owned stock,TOO SMALL TO RANK,16,1,1,6.2,,0,0,0,0,0,4900,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
El Reda,Party,Owned stock,TOO SMALL TO RANK,2,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Lusanda Kids,Adults,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Arabic Trinagle,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Carma Trading Group,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Nomix,Various,Owned stock,TOO SMALL TO RANK,2,1,0,0.0,,0,0,0,0,54,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Bubblzz Bath&Body co,Baby Essentials,Owned stock,TOO SMALL TO RANK,4,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Al Nile Publish,Various,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Glow,Various,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,0,0,0,0,0,936,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
لف الهدايا,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Team D store,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
ORO Import&Trading,School,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Dani Factory,Toys,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
MAK TRADE,Baby Essentials,Owned stock,TOO SMALL TO RANK,7,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Pompelo-cash,Clothing,Owned stock,TOO SMALL TO RANK,1,1,0,0.0,,0,0,0,0,173,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
One To Twelve,Clothing,Owned stock,TOO SMALL TO RANK,6,6,0,0.0,,0,0,0,0,0,194,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Golden Bag-Consignment,School,Consignment,RENEGOTIATE MARGIN,59,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Brihgt star,Baby Essentials,Owned stock,TOO SMALL TO RANK,6,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
كريتيف سبلاير,Various,Owned stock,TOO SMALL TO RANK,7,7,0,0.0,,0,0,0,0,34850,0,,,,2026-07-08,47,L90,0,0,13400,65050,0.1,0.0,,0,0
JokeyJoy Games,Toys,Owned stock,TOO SMALL TO RANK,2,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Al MizanTrading&Distribution,Baby Essentials,Owned stock,TOO SMALL TO RANK,5,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Bubblzz Bath&Body co.cash,Various,Owned stock,TOO SMALL TO RANK,6,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Magalis furniture trading,Various,Owned stock,TOO SMALL TO RANK,1,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
الهدية للاستيراد والتصدير والتوكيلات التجارية,Baby Essentials,Owned stock,TOO SMALL TO RANK,46,1,0,0.0,,0,0,0,0,5219,0,,,,2026-07-07,48,L90,0,0,8772,32840,0.1,0.0,,0,0
LUCID Baby,Baby Essentials,Owned stock,TOO SMALL TO RANK,5,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Toto,Clothing,Owned stock,TOO SMALL TO RANK,1,1,1,100.0,,0,0,0,0,220,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
advertising,Toys,Owned stock,TOO SMALL TO RANK,5,0,0,0.0,,0,0,0,0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Amank,Various,Owned stock,TOO SMALL TO RANK,25,0,0,0.0,,-4200,-534,12.7,-0.0,0,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
'amniat alsayid,All,Owned stock,TOO SMALL TO RANK,2,0,0,0.0,,-23621,-20720,87.7,-0.0,0,0,,,,,,Never,0,0,0,0,0.0,-0.0,,0,0
(no vendor),Services,Owned stock,STOP BUYING — work the stock down,426,20,5,1.2,11.8,-3771065,-3337516,88.5,-0.1,1769625,12629,-1.89,,,2026-08-11,13,L30,0,0,4117,3568880,0,56.3,,1769625,0
