vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
Selection For Trade,Toys,Owned stock,TOO SMALL TO RANK,122,19,2,1.6,0.0,72619,18502,25.5,5.5,17447,0,,,,2025-11-30,267,L365,0,0,0,0,0.0,0.1,,0,0
Rubitherm Technologies,Baby Essentials,Owned stock,TOO SMALL TO RANK,16,6,0,0.0,0.0,72309,13023,18.0,11.8,0,9520,,,,2025-09-17,341,L365,0,0,0,0,0.0,0.1,,0,0
Milano,Toys,Owned stock,TOO SMALL TO RANK,141,68,21,14.9,0.0,72302,16647,23.0,12.6,24508,49120,,,,2025-12-11,256,L365,0,0,0,54093,0.0,0.1,,0,0
Ds studio,Party,Owned stock,TOO SMALL TO RANK,5,0,0,0.0,,71692,9289,13.0,18.6,0,0,,,,2026-01-28,208,L365,0,0,0,0,0.0,0.2,,0,0
Memorecs,Party,Owned stock,TOO SMALL TO RANK,45,45,42,93.3,98.7,66420,18305,27.6,0.0,0,74568,,,,2026-08-09,15,L30,0,0,0,0,0.0,0.4,,0,0
Omaya,Party,Owned stock,TOO SMALL TO RANK,6,4,0,0.0,0.0,64866,29169,45.0,0.0,3144,0,,,,2026-05-25,91,L180,0,0,0,17799,0.0,0.7,,0,0
Dar Al Farouk,Various,Owned stock,STOP BUYING — work the stock down,343,236,159,46.4,91.5,64196,20641,32.2,0.6,50875,0,0.41,0.86,14.0,2026-08-06,18,L30,0,42537,42537,42537,0.4,0.2,1.81,39986,0
the beby garage,Various,Owned stock,TOO SMALL TO RANK,5,4,2,40.0,,60515,1675,2.8,61.8,0,40180,,,,2026-04-22,124,L180,0,0,0,0,0.0,0.0,,0,0
Next Door,Party,Owned stock,STOP BUYING — work the stock down,19,18,0,0.0,0.0,60019,22585,37.6,0.1,50522,0,0.45,0.74,16.2,2026-07-01,54,L90,0,0,45885,45885,85.4,0.6,154.81,41164,0
Universal,Baby Essentials,Owned stock,TOO SMALL TO RANK,70,6,2,2.9,10.8,59486,13035,21.9,6.9,9428,0,,,,2026-05-05,111,L180,0,0,0,23028,0.0,0.1,,0,0
Tom&Spike.cons,Toys,Owned stock,TOO SMALL TO RANK,5,1,0,0.0,0.0,55502,8686,15.7,0.0,0,8500,,,,2026-05-21,95,L180,0,0,0,0,0.0,0.0,,0,0
Mama at work,Various,Owned stock,TOO SMALL TO RANK,99,65,50,50.5,88.5,54114,12358,22.8,21.2,0,25654,,,,2026-08-03,21,L30,0,0,0,0,0.0,0.1,,0,0
